State,District,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
AGAR MALWA,AGAR MALWA,0,115,2716,165,2537,129,1378,1302,150,1,744,2085,10,3,2818,2743,87,676,2155,2299,532,491,2339,2231,599,1239,1592,1994,837
ALIRAJPUR,ALIRAJPUR,0,440,476,140,770,6,7,895,14,386,424,106,0,22,895,477,440,863,50,744,169,479,435,764,149,578,336,888,25
ANUPPUR,ANUPPUR,0,430,582,542,448,22,112,868,32,113,574,321,5,19,985,1008,4,975,37,907,105,497,514,970,41,357,654,1006,6
ASHOKNAGAR,ASHOKNAGAR,0,1505,2601,918,3001,187,67,3973,66,1436,1558,1112,6,12,4085,4081,23,3969,135,3852,252,1816,2287,3926,174,2847,1256,4076,28
BALAGHAT,BALAGHAT,5,2716,1418,759,3265,116,2372,1602,160,2049,976,1106,133,9,3995,2915,1213,3021,1116,3019,1117,3356,775,4041,89,3509,624,3851,286
BARWANI,BARWANI,1,850,4256,443,4331,333,560,4439,109,1286,2576,1241,4,5,5090,4739,360,4097,1011,4000,1108,2569,2537,3814,1291,3006,2100,3035,2072
BETUL,BETUL,0,54,771,104,646,77,261,557,9,50,480,291,0,1,825,821,0,655,172,790,37,443,383,811,16,567,258,825,2
BHOPAL,BHOPAL,1,779,1647,221,1948,258,935,1467,25,465,986,976,0,0,2426,2427,0,1854,573,2166,261,1555,872,2370,57,2223,204,2229,198
BURHANPUR,BURHANPUR,0,7,82,16,69,4,47,40,2,15,39,35,2,0,87,87,2,49,40,51,38,39,50,78,11,59,30,65,24
CHHATARPUR,CHHATARPUR,2,462,5401,422,5365,85,2573,3257,35,192,1728,3947,36,3,5838,5863,7,4909,940,4797,1049,4962,892,5774,52,2538,3227,5483,379
CHHINDWARA,CHHINDWARA,5,257,870,293,777,63,166,929,39,282,453,397,2,8,1122,1097,35,1063,71,725,409,510,623,988,145,702,432,1059,74
DAMOH,DAMOH,6,1991,2509,866,3523,117,739,3556,211,1504,1612,1388,16,59,4426,4148,354,3922,579,3577,929,3158,1348,4097,408,3736,767,3989,517
DATIA,DATIA,0,32,127,75,71,13,63,90,6,72,61,26,5,1,153,159,0,150,9,116,43,97,60,153,6,108,51,122,37
DEWAS,DEWAS,2,285,2054,237,1910,194,193,2048,100,8,1255,1074,5,3,2312,2292,34,1604,737,2115,225,944,1397,2104,234,1474,865,1521,819
DHAR,DHAR,0,29,424,38,413,2,26,419,8,35,208,208,0,0,453,449,2,312,141,307,146,232,217,377,74,302,148,328,125
DINDORI,DINDORI,8,1832,1314,1217,1385,554,1001,1803,352,1682,584,885,5,151,2979,3121,21,3062,94,2737,418,2361,793,3036,118,2233,921,3142,12
GUNA,GUNA,0,452,2096,622,1851,74,47,2364,137,359,1468,718,58,2,2486,2484,60,2342,205,2141,407,1020,1525,2300,244,1569,978,2361,188
GWALIOR,GWALIOR,0,20,295,111,189,14,60,218,37,61,145,106,0,0,315,305,9,305,10,253,62,167,146,300,15,235,79,310,5
HARDA,HARDA,0,367,1334,1185,480,36,546,1153,2,811,747,143,0,0,1703,1670,30,1469,232,1650,49,979,720,1563,136,1229,469,1513,186
INDORE,INDORE,8,45,3230,167,2727,390,3050,216,17,210,1284,1789,47,7,3208,3266,6,3026,257,2649,633,1963,1318,3247,34,2678,603,3251,31
JABALPUR,JABALPUR,2,2511,1044,366,2785,406,1399,2031,127,1771,1442,344,1,4,3551,3547,10,2765,792,2548,1009,1812,1745,3173,383,2710,846,2958,599
JHABUA,JHABUA,0,884,1012,732,1101,63,323,1451,123,978,577,340,2,1,1890,44,1849,1757,140,1790,107,1306,591,1895,2,952,945,1895,2
KATNI,KATNI,0,252,512,345,378,41,96,657,11,207,396,161,0,0,764,763,1,663,101,624,140,452,312,718,46,345,419,724,40
KHANDWA (EAST NIMAR),KHANDWA (EAST NIMAR),0,179,1832,226,1539,246,564,1421,26,247,1381,382,0,1,2009,1918,92,1542,469,1738,273,733,1278,1268,744,705,1306,1172,840
KHARGON(WEST NIMAR),KHARGON(WEST NIMAR),0,515,4484,953,3954,95,1455,3494,55,750,1970,2274,40,2,4933,4989,0,3974,1030,4444,562,2778,2226,4919,86,3991,1009,4671,334
MAIHAR,MAIHAR,0,18,233,94,123,34,135,112,4,29,93,129,0,0,250,247,3,208,43,217,34,107,144,234,17,137,114,232,19
MANDLA,MANDLA,0,336,908,493,687,64,282,937,25,224,516,504,15,80,1149,1241,1,1080,164,339,905,505,739,926,317,536,708,832,412
MANDSAUR,MANDSAUR,0,199,2324,161,2056,306,338,2129,58,354,915,1251,1,6,2502,2317,201,987,1538,902,1615,933,1591,2469,41,1403,1117,1941,571
MAUGANJ,MAUGANJ,1,918,1071,1190,799,1,587,1400,3,898,762,330,0,1,1987,1990,0,1984,6,1430,560,1188,802,1902,88,1892,96,1930,60
MORENA,MORENA,0,388,2166,1462,1004,88,376,2071,107,148,1010,1382,23,9,2522,2545,9,931,1623,1543,1011,770,1784,2224,330,1007,1547,2358,196
NARMADAPURAM,NARMADAPURAM,0,19,2598,396,1765,456,1741,858,18,125,892,1596,11,7,2585,2605,3,2094,523,2152,465,1097,1517,2398,219,1570,1043,2329,289
NARSINGHPUR,NARSINGHPUR,0,185,1162,492,251,604,609,717,21,110,591,646,25,61,1261,1342,5,1077,270,614,733,1036,310,1342,5,1291,55,1311,36
NEEMUCH,NEEMUCH,0,468,1569,422,1408,207,939,1050,48,522,1069,443,9,0,2016,1943,86,1190,846,1660,377,904,1131,1602,435,877,1158,1490,547
Niwari,Niwari,0,189,390,265,281,35,157,341,83,134,176,271,1,0,579,518,61,482,97,467,113,229,352,478,103,420,160,573,8
PANDHURNA,PANDHURNA,0,0,121,14,107,0,7,114,0,81,37,3,0,0,121,121,0,54,67,74,47,113,5,115,6,104,13,49,71
PANNA,PANNA,1,1287,2355,594,2449,602,1524,2104,16,1071,1177,1391,16,9,3608,3628,12,2795,843,2923,723,1064,2555,2911,666,1649,1848,3112,533
RAISEN,RAISEN,0,635,2019,3,2525,126,810,1739,105,194,1395,1065,7,0,2647,2654,0,1665,989,2345,309,1772,882,2604,50,2242,412,2468,186
RAJGARH,RAJGARH,21,880,3628,1592,2416,508,482,3929,100,438,1952,2137,103,182,4240,3757,777,3513,991,4006,447,1488,2995,2573,1866,759,3740,3289,1153
RATLAM,RATLAM,0,466,1945,137,2145,129,89,2311,11,113,1063,1232,109,4,2294,2321,88,1853,558,1997,414,920,1488,1596,815,1364,1046,1653,758
