State,District,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
REWA,REWA,0,1329,2641,865,2994,110,940,2980,50,1017,1865,1087,0,4,3963,3965,5,3757,214,2612,1359,1352,2617,3853,118,3310,660,3885,86
SAGAR,SAGAR,78,1877,4029,1243,4331,408,710,4246,1026,1194,2447,2337,41,90,5846,4891,1086,4535,1433,4466,1517,4079,1883,5654,326,4950,1025,5419,566
SATNA,SATNA,65,1447,1150,1177,1455,30,1107,1412,143,939,921,800,14,115,2529,2651,6,1929,733,1622,1040,1336,1326,2412,250,2076,586,2528,134
SEHORE,SEHORE,2,676,1300,67,1634,279,977,986,17,805,686,483,0,12,1955,1870,103,1626,353,1758,220,1224,751,1629,342,1331,644,1539,435
SEONI,SEONI,3,1343,1306,892,1643,118,1154,1405,95,1313,918,419,5,165,2471,2457,193,2413,241,2456,200,1627,1027,2571,85,2036,618,2643,13
SHAHDOL,SHAHDOL,0,186,2471,31,1549,1077,2284,286,87,253,819,1585,1,486,2170,2657,0,1593,1064,2595,62,832,1824,2649,8,2107,549,2655,2
SHAJAPUR,SHAJAPUR,3,1113,1694,1129,1617,67,44,2373,392,981,869,959,71,6,2725,2684,119,1561,1249,2020,789,984,1826,2460,343,1584,1228,2382,426
SHEOPUR,SHEOPUR,48,577,597,362,775,85,103,719,400,377,443,402,84,94,1043,1209,12,903,319,577,640,594,627,988,225,713,508,799,416
SHIVPURI,SHIVPURI,10,4185,3988,6157,1876,151,586,7330,268,804,2446,4928,24,87,8070,8040,139,7669,515,7627,554,3292,4883,4650,3490,4406,3769,7913,267
SIDHI,SIDHI,0,29,371,283,85,32,62,331,7,34,316,50,0,2,398,396,2,184,216,346,54,383,17,400,0,347,53,376,24
SINGRAULI,SINGRAULI,4,517,1453,834,1132,11,71,1399,506,273,1065,633,26,4,1924,1720,246,1311,663,1245,731,1510,466,1974,1,1599,376,1447,529
TIKAMGARH,TIKAMGARH,0,367,842,202,987,20,247,944,18,156,580,473,1,6,1202,1165,44,848,360,988,221,748,461,1158,51,890,319,1114,94
UJJAIN,UJJAIN,3,758,8612,2811,6187,377,4313,4978,82,750,5578,2993,69,12,9285,8980,312,7466,1907,5824,3547,4539,4774,7314,2047,4852,4505,6670,2701
UMARIA,UMARIA,12,130,371,253,211,49,136,357,20,168,226,119,0,1,512,509,3,502,11,389,123,196,315,513,0,322,191,495,18
VIDISHA,VIDISHA,1,764,4563,244,4672,412,745,4377,209,372,1885,3066,36,3,5282,5204,116,3631,1699,4313,1017,2940,2384,5070,260,4203,1124,4847,484
