State,District,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
ANUGUL,ANUGUL,0,31,523,227,297,30,229,313,12,141,349,64,0,68,486,552,2,509,45,554,0,386,168,554,0,215,339,552,2
BALESHWAR,BALESHWAR,0,166,460,56,194,376,102,508,16,58,290,278,0,329,297,625,1,439,187,568,58,63,563,426,200,90,536,394,232
BARGARH,BARGARH,0,12,160,17,49,106,109,47,16,103,49,20,0,5,167,172,0,131,41,172,0,166,6,171,1,22,150,172,0
DHENKANAL,DHENKANAL,0,0,409,192,193,24,346,33,30,4,10,395,0,14,395,409,0,0,409,409,0,409,0,409,0,24,385,409,0
GANJAM,GANJAM,17,116,178,0,36,275,9,278,24,23,57,231,0,201,110,311,0,141,170,311,0,185,126,311,0,144,167,300,11
JAGATSINGHAPUR,JAGATSINGHAPUR,0,838,156,990,2,2,28,853,113,2,992,0,0,0,994,994,0,838,156,898,96,768,226,994,0,931,63,923,71
JHARSUGUDA,JHARSUGUDA,1,0,183,156,17,11,160,24,0,47,68,69,0,161,23,183,1,4,180,155,29,77,107,161,22,90,94,174,10
KALAHANDI,KALAHANDI,4,866,583,723,727,3,51,1396,6,53,959,439,4,135,1314,1446,6,854,599,1296,157,991,461,1414,36,1148,305,1365,88
KANDHAMAL,KANDHAMAL,0,371,205,0,356,220,23,542,11,0,70,506,0,490,86,576,0,273,303,574,2,530,46,575,1,127,449,576,0
KENDRAPARA,KENDRAPARA,0,0,63,10,40,13,5,38,20,0,0,63,0,52,11,63,0,61,2,17,46,3,60,63,0,17,46,61,2
KHORDHA,KHORDHA,0,50,753,0,69,734,337,182,284,476,186,141,0,272,531,803,0,358,445,801,2,708,95,803,0,69,734,799,4
KORAPUT,KORAPUT,0,15,8,4,5,14,13,9,1,2,11,10,0,16,7,23,0,20,3,23,0,23,0,23,0,4,19,23,0
MAYURBHANJ,MAYURBHANJ,107,444,678,0,45,1184,235,355,639,466,425,338,0,933,296,1229,0,4,1225,1118,111,448,781,504,725,59,1170,958,271
NUAPADA,NUAPADA,0,1006,138,313,829,1,1,1143,0,44,923,174,0,1,1143,1144,0,1090,54,1143,1,659,484,1143,0,862,281,1142,2
PURI,PURI,0,209,488,128,384,185,86,447,164,40,319,338,0,90,607,696,0,443,254,593,104,387,310,596,101,248,449,534,163
RAYAGADA,RAYAGADA,0,52,179,5,66,160,33,196,2,0,22,209,0,40,191,231,0,230,1,231,0,222,9,230,1,228,3,188,43
SONEPUR,SONEPUR,1,75,45,31,75,15,10,108,3,2,53,66,0,45,76,121,0,89,32,79,42,44,77,111,10,44,77,119,2
SUNDARGARH,SUNDARGARH,235,1016,1327,1093,1009,476,431,1187,960,312,909,1357,0,33,2545,2578,0,2208,370,2530,48,1116,1462,2530,47,918,1660,2571,7
