State,District,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
AHILYANAGAR,AHILYANAGAR,0,2,8,3,3,4,6,2,2,4,2,4,0,0,10,10,0,4,6,4,6,7,3,10,0,9,0,7,3
AKOLA,AKOLA,1,33,772,120,555,131,464,340,2,117,192,497,17,1,788,792,14,129,677,470,336,523,283,805,1,421,385,806,0
AMRAVATI,AMRAVATI,0,2,0,0,0,2,2,0,0,1,1,0,0,0,2,2,0,0,2,2,0,2,0,2,0,2,0,0,2
BHANDARA,BHANDARA,0,0,9,2,3,4,5,4,0,4,1,4,0,0,9,9,0,9,0,8,1,9,0,9,0,5,4,9,0
BULDHANA,BULDHANA,0,1,1,0,1,0,1,0,0,0,1,1,0,0,2,2,0,0,1,0,2,1,1,2,0,1,1,2,0
CHANDRAPUR,CHANDRAPUR,0,26,4,1,3,26,14,9,7,16,4,10,1,0,29,30,0,1,29,22,8,30,0,30,0,30,0,7,23
Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,0,68,758,94,533,199,680,132,14,31,263,532,50,1,775,822,4,693,133,61,765,153,673,823,3,294,532,741,85
DHARASHIV,DHARASHIV,0,1,34,0,0,35,32,2,1,0,10,25,2,0,33,35,0,0,35,1,34,12,23,35,0,18,17,32,3
DHULE,DHULE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GADCHIROLI,GADCHIROLI,0,5,443,32,214,202,153,237,58,257,77,114,1,91,355,447,0,19,429,233,215,420,28,410,37,15,432,413,35
GONDIA,GONDIA,0,92,230,118,136,68,270,49,3,303,11,8,0,48,277,323,0,171,151,322,0,306,16,293,27,159,163,321,0
HINGOLI,HINGOLI,0,116,61,1,156,20,131,46,0,0,60,117,0,0,177,177,0,78,99,129,48,76,101,172,5,89,88,144,33
JALNA,JALNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOLHAPUR,KOLHAPUR,0,4,359,197,76,90,121,156,86,112,200,51,0,39,324,363,0,31,332,242,121,276,87,363,0,147,216,363,0
NAGPUR,NAGPUR,0,1,1,0,0,2,2,0,0,1,1,0,0,0,2,2,0,1,1,1,1,2,0,2,0,2,0,1,1
NANDED,NANDED,0,1,1,0,2,0,1,0,1,0,1,1,0,0,2,2,0,1,1,1,1,0,2,2,0,0,2,2,0
NASHIK,NASHIK,0,1,2,2,1,0,0,0,3,2,0,1,1,0,2,3,0,0,3,3,0,3,0,3,0,2,1,0,3
PUNE,PUNE,0,3,3,2,1,3,0,0,6,3,0,3,0,0,6,6,0,0,6,4,2,5,1,6,0,5,1,0,6
RAIGAD,RAIGAD,0,0,21,7,5,9,7,14,0,20,0,1,0,0,20,20,0,20,1,21,0,21,0,21,0,0,21,21,0
RATNAGIRI,RATNAGIRI,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
SANGLI,SANGLI,0,0,201,1,75,125,161,40,0,101,52,48,74,0,127,201,0,45,156,1,200,143,58,201,0,178,23,114,87
SATARA,SATARA,0,1,13,12,2,0,9,3,2,0,1,13,3,0,11,14,0,8,6,2,12,6,8,11,1,5,9,9,5
SINDHUDURG,SINDHUDURG,0,1,8,6,1,2,8,1,0,9,0,0,0,5,4,9,0,8,1,9,0,7,2,8,1,0,9,9,0
SOLAPUR,SOLAPUR,0,5,53,12,43,3,44,1,13,12,21,25,2,0,56,52,6,32,26,23,35,48,10,57,0,41,17,45,12
THANE,THANE,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
WARDHA,WARDHA,0,33,230,12,71,180,234,19,10,15,7,241,0,0,263,261,2,226,37,20,243,145,118,262,1,186,77,238,25
WASHIM,WASHIM,1,26,142,3,109,56,148,21,0,82,81,6,0,0,168,169,0,7,162,4,164,50,118,168,0,167,1,164,4
YAVATMAL,YAVATMAL,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
