State,District,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
24 PARAGANAS NORTH,24 PARAGANAS NORTH,0,2627,74,2641,51,9,349,1940,413,2096,595,7,0,96,2590,1960,735,1205,1497,2694,7,2645,57,2701,0,1923,775,2699,1
24 PARAGANAS SOUTH,24 PARAGANAS SOUTH,5,1964,486,1772,474,211,1568,838,52,985,1175,297,2,860,1596,1036,1421,1266,1191,2431,25,1055,1403,2446,9,1073,1385,2446,10
BANKURA,BANKURA,1031,690,160,1208,558,115,789,684,408,458,757,666,0,1313,568,1881,0,1823,58,1881,0,1881,0,1881,0,1044,837,1881,0
BIRBHUM,BIRBHUM,0,1004,718,1514,207,1,214,1506,2,0,1182,540,0,301,1421,1722,0,1490,232,1722,0,1722,0,1722,0,0,1722,1722,0
DARJEELING,DARJEELING,3,872,28,49,99,755,45,412,446,883,20,0,0,618,285,903,0,1,902,903,0,14,889,853,50,798,105,805,98
DINAJPUR DAKSHIN,DINAJPUR DAKSHIN,83,2135,206,520,847,1060,1127,1202,98,858,1364,201,0,1388,1026,2420,0,1692,735,2394,34,2097,331,2339,89,429,1999,2063,365
DINAJPUR UTTAR,DINAJPUR UTTAR,5,582,82,213,368,88,32,522,115,33,556,80,0,547,121,669,0,511,158,668,1,572,97,655,14,125,544,541,128
HOOGHLY,HOOGHLY,5,904,505,1368,46,0,1289,97,28,352,556,506,0,511,903,1360,54,979,435,1413,1,997,417,1414,0,575,839,1400,14
HOWRAH,HOWRAH,0,1922,122,2043,1,0,1407,610,27,1498,424,122,0,242,1801,1152,892,1909,135,2043,1,1968,76,2044,0,1923,121,2044,0
JALPAIGURI,JALPAIGURI,3,876,17,24,178,694,24,783,89,882,11,3,0,589,307,896,0,0,896,896,0,1,895,878,18,675,221,682,214
Jhargram,Jhargram,2,5,0,7,0,0,0,4,3,3,4,0,0,5,2,7,0,6,1,7,0,7,0,5,2,1,6,7,0
KALIMPONG,KALIMPONG,0,4,0,4,0,0,0,4,0,4,0,0,0,3,1,4,0,0,4,4,0,0,4,0,4,0,4,0,4
MALDAH,MALDAH,0,49,51,97,3,0,0,0,100,56,13,31,0,4,90,97,3,2,98,99,1,95,5,100,0,2,98,88,12
MEDINIPUR EAST,MEDINIPUR EAST,0,401,13,320,82,12,38,365,11,273,132,9,0,5,409,414,0,400,14,414,0,400,14,414,0,305,109,413,1
MEDINIPUR WEST,MEDINIPUR WEST,0,0,4,3,0,1,3,1,0,1,2,1,0,3,1,3,1,2,2,4,0,4,0,4,0,1,3,4,0
MURSHIDABAD,MURSHIDABAD,2,108,653,707,55,1,252,497,15,21,442,300,0,0,764,763,0,214,549,757,7,69,695,755,1,7,757,754,10
NADIA,NADIA,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0
PASCHIM BARDHAMAN,PASCHIM BARDHAMAN,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
PURULIA,PURULIA,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1
