State,District,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
BARPETA,BARPETA,51,409,0,333,126,1,50,126,284,181,279,0,0,33,427,460,0,437,23,445,15,365,95,460,0,49,411,238,222
BONGAIGAON,BONGAIGAON,1,4899,1,209,1497,3195,30,1213,3658,3,201,4697,0,3,4898,4901,0,4482,419,4901,0,3632,1269,4448,453,414,4487,4211,690
CHIRANG,CHIRANG,548,27,1,298,122,156,0,78,498,550,19,7,0,473,103,576,0,377,199,556,20,363,213,576,0,181,395,505,71
DARRANG,DARRANG,3829,3033,90,4616,1677,659,481,2181,4290,4789,1318,845,0,3774,3178,6952,0,6927,25,6910,42,6313,639,6796,156,1045,5907,6770,182
DHEMAJI,DHEMAJI,790,436,45,1128,76,67,197,795,279,896,207,168,0,860,411,1271,0,1193,78,1270,1,1144,127,1267,4,575,696,1259,12
GOLAGHAT,GOLAGHAT,294,99,1,185,119,90,102,283,9,360,32,2,0,157,237,394,0,309,85,394,0,334,60,394,0,388,6,386,8
HAILAKANDI,HAILAKANDI,740,275,0,999,15,1,244,704,67,841,165,9,0,920,95,1015,0,1015,0,1014,1,984,31,1002,13,127,888,1015,0
KARIMGANJ,KARIMGANJ,14,0,0,14,0,0,0,13,1,14,0,0,0,14,0,14,0,14,0,14,0,13,1,14,0,2,12,14,0
KOKRAJHAR,KOKRAJHAR,201,0,0,201,0,0,0,84,117,201,0,0,0,193,8,201,0,201,0,164,37,0,201,164,37,19,182,48,153
MARIGAON,MARIGAON,161,98,8,267,0,0,0,47,220,201,44,22,0,145,122,267,0,267,0,267,0,264,3,267,0,187,80,221,46
NALBARI,NALBARI,11,112,16,139,0,0,0,72,67,46,55,38,0,107,32,139,0,139,0,139,0,110,29,139,0,11,128,135,4
TINSUKIA,TINSUKIA,24,6,0,30,0,0,0,0,30,11,12,7,0,20,10,30,0,30,0,0,30,0,30,0,30,1,29,0,30
UDALGURI,UDALGURI,2642,1784,81,2561,1449,497,8,301,4198,3187,754,566,0,2931,1576,4506,1,4470,37,4507,0,4055,452,4405,102,1010,3497,4421,86
