State,District,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
BALOD,BALOD,2,280,1218,331,783,386,1115,358,27,306,506,687,4,180,1307,1494,1,631,868,1498,2,1167,330,1498,2,915,585,1499,1
BALODA BAZAR,BALODA BAZAR,4,26,3383,521,2380,512,2354,1046,13,6,507,2899,1,38,3370,3411,0,3401,12,2581,832,1232,2180,3406,7,868,2545,3155,258
Balrampur,Balrampur,0,111,289,0,260,140,173,227,0,0,114,286,0,0,400,400,0,400,0,400,0,80,320,400,0,400,0,400,0
BASTAR,BASTAR,0,460,1185,632,821,192,416,1185,44,497,946,201,0,183,1460,1644,1,1563,82,1601,44,750,895,1630,14,249,1395,1524,121
BEMETARA,BEMETARA,0,43,3176,142,2924,153,2756,462,1,1211,1668,340,0,0,3218,3219,0,2058,1161,1278,1941,136,3083,3217,1,108,3111,3219,0
Bilaspur,Bilaspur,1,53,684,370,224,142,688,48,2,113,162,462,1,3,731,736,1,676,52,739,1,703,36,740,0,739,0,740,0
DANTEWADA,DANTEWADA,6,34,4874,32,3700,1183,1409,3104,401,1500,1586,1832,1,9,4909,4885,30,1328,3583,4550,357,4291,618,4892,19,2295,2614,4864,50
DHAMTARI,DHAMTARI,0,479,1130,185,887,537,852,734,23,565,695,348,0,822,780,1605,1,836,773,1606,3,693,916,1607,2,428,1181,1599,10
DURG,DURG,916,1507,31,508,1481,465,1996,448,10,1678,532,244,2,34,2418,2446,8,1945,509,2427,27,2258,196,2452,2,1471,983,2454,0
GARIYABAND,GARIYABAND,1,0,1397,2,1382,14,1155,240,3,2,798,598,0,94,1305,1397,0,306,1092,1396,2,737,661,1397,1,1394,4,1397,1
JASHPUR,JASHPUR,0,359,263,0,98,524,532,90,0,13,49,560,0,156,466,622,0,0,622,622,0,9,613,622,0,610,12,622,0
KABIRDHAM,KABIRDHAM,9,2688,412,100,2999,10,3067,25,17,614,1536,958,0,0,3102,3107,0,635,2473,3038,71,2573,536,3100,9,3104,4,3101,8
KANKER,KANKER,0,472,360,32,613,187,252,579,1,121,160,551,0,130,702,832,0,829,3,832,0,94,738,696,136,832,0,832,0
KHAIRGARH CHHUIKHADAN GANDAI,KHAIRGARH CHHUIKHADAN GANDAI,0,0,256,7,52,197,4,122,132,180,31,43,0,0,249,250,3,39,220,181,78,120,139,259,0,257,2,243,16
KONDAGAON,KONDAGAON,0,46,154,185,14,1,145,49,6,24,164,12,0,94,106,200,0,125,75,183,17,11,189,128,72,41,159,195,5
KORBA,KORBA,0,0,3,0,3,0,1,2,0,0,1,2,0,1,2,3,0,3,0,3,0,1,2,3,0,3,0,3,0
KOREA,KOREA,5,204,1294,58,1340,105,417,936,150,133,488,881,0,387,1116,1498,2,754,749,1500,3,1317,186,1460,43,1503,0,1503,0
MAHASAMUND,MAHASAMUND,1,273,1843,130,1752,235,639,1469,9,9,651,1457,3,327,1784,2115,1,1769,348,2053,65,1502,616,2118,0,2058,59,2100,18
MOHLA MANPUR AMBAGARH CHOUKI,MOHLA MANPUR AMBAGARH CHOUKI,0,349,1049,10,45,1343,954,406,38,490,380,526,0,3,1394,1395,1,131,1266,1157,240,677,701,1298,90,1393,4,1336,61
MUNGELI,MUNGELI,2,350,48,11,373,16,364,36,0,0,71,329,0,4,396,400,0,339,61,291,109,357,43,385,15,400,0,400,0
RAIGARH,RAIGARH,0,1,8,0,7,2,4,5,0,0,3,6,0,0,9,9,0,6,3,8,1,8,1,9,0,9,0,9,0
RAIPUR,RAIPUR,3,141,2286,5,1795,630,319,1620,491,1,1536,893,0,7,2417,2428,1,2429,1,2431,0,2399,31,2428,0,2422,8,2428,3
RAJNANDGAON,RAJNANDGAON,0,24,1927,28,439,1484,187,918,846,438,604,909,3,23,1923,1948,2,1024,927,1686,265,866,1070,1804,67,1801,150,1760,191
SAKTI,SAKTI,0,0,2,0,0,2,0,0,2,1,1,0,0,2,0,2,0,0,2,0,2,1,1,2,0,1,1,0,2
SARANGARH BILAIGARH,SARANGARH BILAIGARH,0,13,544,66,436,55,81,363,113,4,209,344,9,44,504,555,1,488,69,436,121,86,471,548,6,255,302,539,18
SURAJPUR,SURAJPUR,0,7,2022,0,2029,0,146,1883,0,4,1553,472,0,197,1832,2029,0,2029,0,2029,0,1855,173,2028,0,2006,23,2029,0
SURGUJA,SURGUJA,8,40,4276,10,4302,14,1035,3224,68,1174,1957,1190,4,3944,360,4315,1,4326,1,4319,8,2229,2096,4321,5,3607,718,4327,0
