State,District,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
AJMER,AJMER,0,7,14,849,859,4,445,1257,9,3,6,1704,428,0,1283,1511,200,4,15,1307,406,1212,501,1712,1,18,1,1640,55
ALWAR,ALWAR,0,0,7,3889,782,4,993,3291,392,34,136,4503,274,5,4378,3450,1220,3144,1532,1721,2956,1575,3102,4503,173,7,1,4355,315
Balotra,Balotra,0,0,0,36,0,0,9,27,0,0,0,36,0,0,36,36,0,0,0,0,36,0,36,36,0,0,0,36,0
BANSWARA,BANSWARA,0,0,1,1842,1383,37,2781,482,1,392,774,2093,61,4,3183,3081,167,3265,0,2924,343,1869,1396,3225,43,2,0,3263,4
BARAN,BARAN,0,0,2,1906,216,2,2113,12,1,132,768,1221,0,0,2119,2114,5,1,2,1167,697,1349,515,1808,56,2,0,1721,141
BARMER,BARMER,0,0,0,1036,3,0,49,986,4,0,0,1039,129,0,911,1018,21,0,0,1,1038,0,1039,1038,1,0,0,1029,10
Beawar,Beawar,0,0,1,105,211,13,18,299,7,2,2,321,155,4,170,312,11,113,0,25,301,20,310,259,63,1,0,265,58
BHARATPUR,BHARATPUR,1,0,2465,220,2201,46,81,2281,105,0,0,2465,1,1,2459,2054,410,2418,49,1,2466,2071,396,1127,1340,0,0,135,2332
BHILWARA,BHILWARA,0,0,3,1214,1072,98,827,1554,2,1415,496,473,168,0,2216,1763,621,2379,5,1117,1267,1161,1223,2380,3,4,0,2380,1
BIKANER,BIKANER,0,0,7,2886,108,6,2300,691,9,36,4,2957,822,3,2168,2902,95,0,6,331,2670,1668,1332,2606,394,8,1,2832,165
BUNDI,BUNDI,0,5,14,3810,315,6,3497,627,7,447,1806,1877,36,2,4093,3950,181,7,12,3282,848,3179,949,4102,29,13,6,4056,65
CHITTORGARH,CHITTORGARH,0,0,0,1443,2120,242,1641,1903,261,1375,1062,1368,354,38,3413,3364,441,3480,325,1152,2653,2627,1178,3543,262,0,0,3309,496
CHURU,CHURU,0,0,0,1,1483,2884,923,3440,6,0,167,4202,65,0,4304,4258,111,0,0,349,4020,186,4183,4068,301,0,0,4191,178
