State,District,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
DAUSA,DAUSA,0,0,4,4317,14,1,595,3736,0,0,0,4332,689,0,3643,4331,1,4328,4,2080,2252,765,3567,4331,1,4,0,4323,5
Deeg,Deeg,1,1,1967,215,1729,25,59,1834,76,0,1,1968,1,1,1966,1642,327,1953,16,0,1969,1723,246,1056,914,1,0,94,1875
DHOLPUR,DHOLPUR,1,1,2385,216,2102,71,218,2158,14,0,17,2370,24,0,2363,2388,0,1920,470,2379,11,2034,354,2390,0,1,0,2271,119
Didwana Kuchaman,Didwana Kuchaman,0,0,3,438,68,0,226,280,0,39,140,327,44,0,462,424,82,376,130,5,501,3,503,504,2,3,0,501,2
Dudu,Dudu,0,0,3,0,2,1,2,0,1,0,1,2,0,0,3,3,0,0,3,2,1,3,0,3,0,3,0,0,0
DUNGARPUR,DUNGARPUR,0,0,1,1715,422,0,600,1537,0,67,1419,651,22,0,2115,2134,3,0,0,1938,199,1816,321,2136,1,0,0,2135,2
GANGANAGAR,GANGANAGAR,0,0,0,997,772,0,1783,0,1,0,0,1784,0,1,1782,1379,405,1735,49,1361,423,1071,713,1784,0,0,0,1780,4
Gangapurcity,Gangapurcity,0,0,0,5,7,0,4,8,0,0,0,12,0,0,12,11,1,12,0,7,5,5,7,12,0,0,0,12,0
HANUMANGARH,HANUMANGARH,0,0,50,196,1973,489,1438,1219,1,1,18,2589,218,0,2440,2298,360,1128,1530,1838,820,1096,1562,2532,126,0,0,2338,320
JAIPUR,JAIPUR,0,1,27,5106,1921,131,1625,5413,127,15,71,7069,415,2,6740,6943,212,7108,56,3407,3761,3491,3663,7077,81,24,2,7004,145
Jaipur Gramin,Jaipur Gramin,0,4,37,210,19,7,34,180,21,9,3,225,19,0,219,238,0,200,36,68,170,117,121,236,2,42,1,192,3
JAISALMER,JAISALMER,0,0,0,3241,246,15,699,2800,3,0,4,3498,2686,4,812,3502,0,1,0,1,3505,8,3496,3497,9,0,0,3397,109
JALORE,JALORE,0,0,0,190,15,0,56,149,0,5,66,134,74,0,131,205,0,0,0,4,201,4,201,185,20,0,0,163,42
JHALAWAR,JHALAWAR,0,1,5,2807,431,7,3192,50,6,28,949,2265,1,7,3167,3230,0,2,4,2441,810,2697,553,3252,0,6,0,3245,0
JHUNJHUNU,JHUNJHUNU,0,0,5,4163,501,5,1073,3364,232,7,32,4630,559,8,4101,4659,10,4602,66,2567,2103,1138,3469,4654,16,23,44,4494,172
JODHPUR,JODHPUR,0,0,17,2647,1713,147,2805,1697,21,0,1,4522,4053,13,458,4328,195,1226,1,582,3925,241,4266,3808,715,0,16,4465,58
Jodhpur Gramin,Jodhpur Gramin,0,0,0,143,75,6,125,99,0,0,0,224,160,0,64,205,19,79,0,40,184,15,209,192,32,0,0,224,0
KARAULI,KARAULI,0,0,0,1770,78,1,1501,347,1,17,1142,690,1,0,1846,1849,0,1563,198,955,806,566,1195,1635,126,0,0,1670,91
KOTA,KOTA,0,1,1,501,3427,247,662,3499,15,6,1274,2892,75,12,4081,3239,932,4168,7,3297,879,3242,934,4129,46,2,0,4111,64
Kotputli-Behror,Kotputli-Behror,0,0,25,1406,18,12,36,1388,12,10,16,1406,23,3,1394,1323,97,1412,27,1351,88,41,1398,1438,0,26,0,1412,7
NAGAUR,NAGAUR,0,0,0,4206,1296,1,2592,2818,93,9,36,5458,2295,0,3208,5453,50,3836,1667,390,5113,1739,3764,5401,102,0,0,5226,277
Neem Ka Thana,Neem Ka Thana,0,0,15,11,3,2,10,2,4,0,1,15,0,0,16,16,0,4,11,10,6,15,1,16,0,15,0,1,0
PALI,PALI,0,0,0,1077,917,2,1105,885,6,2,6,1988,669,0,1327,1913,83,1938,58,101,1895,1181,815,1987,9,0,0,1988,8
Phalodi,Phalodi,0,1,4,1,2,2,5,0,0,0,1,4,0,1,4,5,0,1,4,2,3,5,0,5,0,5,0,0,0
PRATAPGARH,PRATAPGARH,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0
RAJSAMAND,RAJSAMAND,0,0,1,2633,2030,10,4627,36,11,9,1291,3361,117,7,4508,4222,429,4674,0,4672,2,2475,2125,4668,6,38,36,4672,2
Salumbar,Salumbar,0,0,0,0,1542,331,38,1835,0,2,331,1539,2,0,1871,1840,33,1850,0,978,895,1244,629,1859,14,0,0,1165,707
Sanchor,Sanchor,0,0,2,1,1,0,1,0,1,0,0,2,0,0,2,2,0,1,1,1,1,2,0,2,0,2,0,0,0
SAWAI MADHOPUR,SAWAI MADHOPUR,0,0,6,2465,644,7,1513,1593,10,6,21,3085,29,0,3082,2838,271,1816,6,875,1989,476,2340,2860,2,6,0,2734,120
Shahpura,Shahpura,0,0,12,4,3,5,1,1,10,2,3,7,1,0,11,12,0,0,12,9,3,12,0,12,0,12,0,0,0
SIKAR,SIKAR,0,0,6,1495,321,18,1712,122,1,4,8,1817,33,18,1758,1817,3,1825,8,1105,732,1827,10,1836,1,7,0,1829,3
SIROHI,SIROHI,0,0,2,738,152,0,427,461,2,1,109,780,44,0,839,887,3,465,407,74,816,62,828,841,49,2,0,867,21
TONK,TONK,0,0,6,2840,150,7,2325,619,52,14,477,2502,572,5,2409,2852,139,1976,3,308,189,240,258,498,0,6,0,494,0
UDAIPUR,UDAIPUR,0,0,3,1,3638,400,1495,2601,1,1232,1663,1203,665,0,3433,3595,503,4044,53,1911,2187,2364,1734,3532,566,4,0,1379,2715
